categoria,ordine,file_originale,file_portfolio,thumbnail
05_Lavori_a_Malta,27,2659CB22-74CE-4F6B-8C6E-F0D9D9C0D6C2.jpeg,05_Lavori_a_Malta/027.jpg,thumbs/05_Lavori_a_Malta/027.jpg
05_Lavori_a_Malta,28,27ADBBBC-4ECF-4BD6-BFB4-CA6B95F145E8.jpeg,05_Lavori_a_Malta/028.jpg,thumbs/05_Lavori_a_Malta/028.jpg
05_Lavori_a_Malta,29,2869ECD8-6410-42D5-84A4-5A2CFB43F95E.jpeg,05_Lavori_a_Malta/029.jpg,thumbs/05_Lavori_a_Malta/029.jpg
05_Lavori_a_Malta,30,2DF29E80-3A80-4DB0-B0E8-17696FD42846.jpeg,05_Lavori_a_Malta/030.jpg,thumbs/05_Lavori_a_Malta/030.jpg
05_Lavori_a_Malta,31,2F236664-4329-4967-BADA-AD09AE11EC46.jpeg,05_Lavori_a_Malta/031.jpg,thumbs/05_Lavori_a_Malta/031.jpg
05_Lavori_a_Malta,32,388332E5-B6BA-4FFC-BA62-CE79342FF38C.jpeg,05_Lavori_a_Malta/032.jpg,thumbs/05_Lavori_a_Malta/032.jpg
05_Lavori_a_Malta,33,43C2F48E-049D-4C58-BD30-BF6FA2A0B965.jpeg,05_Lavori_a_Malta/033.jpg,thumbs/05_Lavori_a_Malta/033.jpg
05_Lavori_a_Malta,34,446FD871-43CC-4B83-815E-00C5D9C7B002.jpeg,05_Lavori_a_Malta/034.jpg,thumbs/05_Lavori_a_Malta/034.jpg
05_Lavori_a_Malta,35,451420D9-046C-4FD5-88D7-3BC812590555.jpeg,05_Lavori_a_Malta/035.jpg,thumbs/05_Lavori_a_Malta/035.jpg
05_Lavori_a_Malta,36,45A85029-7C0F-489B-9466-05BD63C6B89B.jpeg,05_Lavori_a_Malta/036.jpg,thumbs/05_Lavori_a_Malta/036.jpg
05_Lavori_a_Malta,37,463D6F21-C971-4405-B1A4-60A5838A34FD.jpeg,05_Lavori_a_Malta/037.jpg,thumbs/05_Lavori_a_Malta/037.jpg
05_Lavori_a_Malta,38,47F5A652-5999-4ADF-8EC9-B6C1DCD68269.jpeg,05_Lavori_a_Malta/038.jpg,thumbs/05_Lavori_a_Malta/038.jpg
05_Lavori_a_Malta,39,509E3E90-F31A-42EB-9598-402DC12D6F05.jpeg,05_Lavori_a_Malta/039.jpg,thumbs/05_Lavori_a_Malta/039.jpg
